file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00710_0054_332254_to_334398,དོན་གནད་བཅུ་གཅིག་པོ་འདིའི་རྗེས་སུ་འབྲངས་ཏེ་ ,don gnad bcu gcig po 'di'i rjes su 'brangs te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0054_332254_to_334398.wav,STT_AB,2,44,2.144,wav16k/STT_AB00710_0054_332254_to_334398.wav,དེ་ནས་བཅུ་གཅིག་པོ་དེའི་རྗེས་སུ་འབྲངས་ཏེ།
STT_AB00710_0055_336126_to_339870,ལོ་ངོ་དྲུག་གི་ནང་ཚུད་དུ་དགྲ་བཅོམ་པའི་གོ་འཕང་འཐོབ་ཐུབ། ཅེས་གསུངས་སོ།  ,lo ngo drug gi nang tshud du dgra bcom pa'i go 'phang 'thob thub/_ces gsungs so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0055_336126_to_339870.wav,STT_AB,2,69,3.744,wav16k/STT_AB00710_0055_336126_to_339870.wav,ལོ་ལང་སྒྲུབ་གྱི་ནང་ཚུལ་དུ་དགྲ་བཅོམ་པའི་གོ་འཕང་ཐོབ་འཐུབ། ཅེས་གསུངས་སོ།
STT_AB00710_0058_351614_to_353918,དེ་དག་རེ་རེ་ནས་དགེ་སློང་རྣམས་ཀྱི་ཉམས་ལེན་དང་སྦྱར།  ,de dag re re nas dge slong rnams kyi nyams len dang sbyar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0058_351614_to_353918.wav,STT_AB,2,51,2.304,wav16k/STT_AB00710_0058_351614_to_353918.wav,འདི་དག་རེ་རེ་ནས་དགེ་སློང་རྣམས་ཀྱི་ཉམས་ལེན་དང་བྱབས།
STT_AB00710_0060_367599_to_370383,ཁྱེའུ་བཀྲ་ཤིས་ཀྱིས་སྐད་ཅིག་ཙམ་ལའང་གཞན་དུ་མ་གཡེང་བར་ ,khye'u bkra shis kyis skad cig tsam la'ang gzhan du ma g.yeng bar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0060_367599_to_370383.wav,STT_AB,2,52,2.784,wav16k/STT_AB00710_0060_367599_to_370383.wav,ཁེའུ་བཀྲ་ཤིས་ཀྱི་སྐད་ཅིག་ཙམ་ལ་ཡང་གཞན་དུ་མ་གཡེངས་པར།
STT_AB00710_0037_233280_to_236096,དགེ་སློང་དག་གིས་ཀྱང་དབང་པོ་རྣམས་གཞན་དུ་མི་གཡེང་སླད་ ,dge slong dag gis kyang dbang po rnams gzhan du mi g.yeng slad _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0037_233280_to_236096.wav,STT_AB,2,52,2.816,wav16k/STT_AB00710_0037_233280_to_236096.wav,དགེ་སློང་བདག་གིས་ཀྱང་དབང་པོ་རྣམས་གཞན་དུ་མི་གཡེང་ལས།
STT_AB00627_0061_431203_to_434325,མ་སྨིན་ཡིད་དུ་འོང་བ་ནི་མི་དགེ་བ་ལས་མི་འབྱུང་ལ།  ,ma smin yid du 'ong ba ni mi dge ba las mi 'byung la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00627_0061_431203_to_434325.wav,STT_AB,2,48,3.122,wav16k/STT_AB00627_0061_431203_to_434325.wav,རྣམ་སྨིན་ཡིད་དུ་འོང་བ་ནི་མི་དགེ་བ་ལས་མི་འབྱུང་ལ།
STT_AB00710_0038_237216_to_240416,མིག་དང་རྣ་བ་དང་སྣ་དང་ལྕེ་དང་ལུས་དང་ཡིད་དེ་ ,mig dang rna ba dang sna dang lce dang lus dang yid de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0038_237216_to_240416.wav,STT_AB,2,43,3.2,wav16k/STT_AB00710_0038_237216_to_240416.wav,མིག་དང་རྣ་བ་དང་། སྣ་དང་། ཕྱེ་དང་། ལི་དང་ཡིད་དེ།
STT_AB00710_0046_287807_to_292278,དགེ་སློང་ཚོས་ཀྱང་སོ་སོའི་མི་ཚེ་འདི་འཕགས་པའི་བདེན་པ་བཞིའི་ཐབས་ལམ་དང་མཐུན་ཐབས་བྱེད།  ,dge slong tshos kyang so so'i mi tshe 'di 'phags pa'i bden pa bzhi'i thabs lam dang mthun thabs byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0046_287807_to_292278.wav,STT_AB,2,83,4.471,wav16k/STT_AB00710_0046_287807_to_292278.wav,དགེ་སློང་ཚོས་ཀྱང་སོ་སོའི་མི་ཚེ་འདི། འཕགས་པའི་བདེན་པ་བཞིའི་ཐབས་ལམ་དང་མཐུན་ཐབས་བྱས།
STT_AB00710_0051_313455_to_315503,སོ་སོའི་འཁོར་གྱི་ཡུལ་མིའི་འབྲེལ་ལམ་དག་ ,so so'i 'khor gyi yul mi'i 'brel lam dag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0051_313455_to_315503.wav,STT_AB,2,39,2.048,wav16k/STT_AB00710_0051_313455_to_315503.wav,སོ་སོའི་ཉེ་འཁོར་གྱི་ཡུལ་མུའི་འབྲེལ་ལམ་དང་།
STT_AB00710_0056_340094_to_343710,སྐབས་དེར་ཁྱེའུ་བཀྲ་ཤིས་ཀྱིས་ཡ་མཚར་བ་དང་ཧང་སངས་པའི་ངང་ ,skabs der khye'u bkra shis kyis ya mtshar ba dang hang sangs pa'i ngang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00710_0056_340094_to_343710.wav,STT_AB,2,54,3.616,wav16k/STT_AB00710_0056_340094_to_343710.wav,སྐབས་འདིར་ཁེའུ་བཀྲ་ཤིས་ཀྱིས་ཡ་མཚན་བ་དང་ཧང་སང་བའི་ངང་།
